restaurant_names,restaurant_ratings,restaurant_price,restaurant_neighbourhoods,restaurant_reviews,restaurant_type
Istanbul Cafe Bistro,4,££,Fitzrovia,27,TurkishCafesBreakfast & Brunch
The Alchemist,4,££,Aldgate,86,Cocktail BarsBritishBreakfast & Brunch
Scully,5,,Leicester Square,13,BritishLeicester Square
Greenberry Café,4,££,Chalk Farm,33,Brasseries
Gastronomica,4.5,£,London Bridge,8,Food StandsItalian
Casa do Frango,4.5,,London Bridge,7,PortugueseWine BarsLondon Bridge
Thai Square,4,££,The City,19,ThaiBars
The Book Club,4,££,Liverpool Street / Broadgate,118,Venues & Event SpacesCafesCocktail Bars
Sandwich Shop,4.5,£,Kensington,32,Sandwiches
Absurd Bird Soho,4,£££,Soho,19,Chicken ShopAmerican (New)Soul Food
Core by Clare Smyth,4.5,,Notting Hill,19,BritishNotting Hill
The Wilmington,4.5,££,Clerkenwell,38,PubsBritish
River View Chinese Restaurant,4,££,Wapping,8,Chinese
Waxy O’Connor’s,4,££,Leicester Square,168,Irish PubIrishBritish
Cacio & Pepe,5,£££,Pimlico,9,Italian
Princi,4,££,Soho,305,ItalianBakeriesCoffee & Tea
The Pig & Goose at the George on the Strand,4.5,,Holborn,19,BritishHolborn
The Harwood Arms,4.5,£££,West Brompton,127,GastropubsBritish
Heist Bank,4.5,,Paddington,8,BarsPizzaGastropubsPaddington
The Ninth London,4.5,£££,Fitzrovia,25,MediterraneanFrench
The Harwood Arms,4.5,£££,West Brompton,127,GastropubsBritish
The Pig & Goose at the George on the Strand,4.5,,Holborn,19,BritishHolborn
The Ninth London,4.5,£££,Fitzrovia,25,MediterraneanFrench
Annabel’s,4.5,££££,Mayfair,11,BarsBritish
Persepolis,4.5,£,Peckham,21,Persian/IranianGroceryCafes
The Clove Club,4.5,££££,Hoxton,102,BritishCocktail Bars
Istanbul Meze & Grill Restaurant,5,££,Euston,8,TurkishMediterranean
The George Inn,4,££,Borough,141,PubsBritish
Crispin,4,,,5,Breakfast & Brunch
Korean Bbq and Vegan,4,,Barbican,3,HalalKoreanVeganBarbican
Kazan,4.5,££,Victoria,113,Turkish
Korean Bbq and Vegan,4,,Barbican,3,HalalKoreanVeganBarbican
The Lobster Pot,4.5,£££,Kennington,8,FrenchSeafood
Farmacy,4.5,££,Bayswater,68,VeganBreakfast & Brunch
Liman Kitchen,4.5,££,Islington,16,MediterraneanTurkish
Emilia’s Crafted Pasta - Aldgate,5,,Whitechapel,2,ItalianPasta ShopsWhitechapel
El Parador,4.5,££,Euston,43,SpanishWine BarsTapas Bars
Keu,4.5,,Soho,2,VietnameseSoho
Istanbul Meze & Grill Restaurant,5,££,Euston,8,TurkishMediterranean
Westerns Laundry,4.5,,Lower Holloway,5,BritishLower Holloway
El Rincon Quiteño,4,£,Lower Holloway,13,Latin American
Cirilo Filipino Kainan,4,££,Whitechapel,46,Filipino
Dalloway Terrace,4.5,£££,Bloomsbury,34,Cocktail BarsBritishBreakfast & Brunch
Dotori,4,££,Finsbury Park,52,KoreanJapanese
Liman Kitchen,4.5,££,Islington,16,MediterraneanTurkish
Oriental Dragon Restaurant,4,££,Fitzrovia,5,Chinese
CLAW,4.5,£,Soho,5,SeafoodPop-Up RestaurantsDesserts
Istanbul Meze & Grill Restaurant,5,££,Euston,8,TurkishMediterranean
Westerns Laundry,4.5,,Lower Holloway,5,BritishLower Holloway
Phat Phuc Noodle Bar,4,£,Chelsea,61,VietnameseNoodles
VQ Euston,4.5,,Euston,2,DinersBarsEuston
Lemonia,4,££,Chalk Farm,94,Greek
Kerbisher & Malt,4.5,££,West Kensington,91,Fish & Chips
Bill’s,4,££,Soho,207,Modern EuropeanBritish
Heddon Street Kitchen,4,£££,Mayfair,95,Modern EuropeanBreakfast & Brunch
Mamak Don,4.5,,Camden Town,5,MalaysianCamden Town
Ella Canta,4.5,,Mayfair,6,MexicanBreakfast & BrunchCocktail BarsMayfair
The Clove Club,4.5,££££,Hoxton,102,BritishCocktail Bars
Tokyo Diner,4,££,Chinatown,171,Japanese
Farm Girl,4,,Soho,13,CafesSoho
The Oscar Wilde Bar,4.5,££££,Soho,13,Cocktail BarsBritishJazz & Blues
Flat Iron,4.5,££,Strand,196,Steakhouses
Yatri Indian Restaurant,5,,Euston,7,IndianEuston
New London Cafe,4.5,£,Highbury,22,BritishCafes
Balaio Brazilian Grill,5,,Petticoat Lane,1,BrazilianPetticoat Lane
Coppa Club,3.5,££,Aldgate,137,BarsItalianModern European
Annabel’s,4.5,££££,Mayfair,11,BarsBritish
Koya City,4,,The City,10,JapaneseNoodlesThe City
The Real Greek - Soho,4,££,Soho,17,MediterraneanGreek
The Lion & Unicorn,4,££,Kentish Town,18,Gastropubs
Ella Canta,4.5,,Mayfair,6,MexicanBreakfast & BrunchCocktail BarsMayfair
The Barbary,5,£££,Covent Garden,65,Middle EasternMediterranean
Tokyo Diner,4,££,Chinatown,171,Japanese
Farm Girl,4,,Soho,13,CafesSoho
Flat Iron,4.5,££,Strand,196,Steakhouses
Yatri Indian Restaurant,5,,Euston,7,IndianEuston
Terrace Grill and Bar,4.5,££,Mayfair,5,British
Balaio Brazilian Grill,5,,Petticoat Lane,1,BrazilianPetticoat Lane
Coppa Club,3.5,££,Aldgate,137,BarsItalianModern European
The Gate,5,,St John's Wood,1,VegetarianSt John's Wood
Gunpowder,4.5,,London Bridge,16,IndianLondon Bridge
Steak & Co,4,££,Leicester Square,115,SteakhousesBritish
Persepolis,4.5,£,Peckham,21,Persian/IranianGroceryCafes
Dumpling Shack,4,,Spitalfields,12,NoodlesDim SumSpitalfields
The Windmill,4,££,Mayfair,95,PubsBritish
E Pellicci,4.5,£,Bethnal Green,84,ItalianCafesBreakfast & Brunch
Honest Burgers Meard St - Soho,4.5,££,Soho,281,Burgers
BAO,4,££,Fitzrovia,46,Taiwanese
The Old School Yard,4.5,££,Borough,43,Cocktail BarsDive BarsPizza
José,4.5,££,Borough,83,SpanishTapas Bars
